capacity_gib,concurrency,baseline,task_id,capacity_blocks,n_accesses,elapsed_s,global_block_hit_rate,global_p95_ttft_ms,global_throughput,migrate_ms_total,restore_ms_total,migrate_count,restore_count,fallback_count,n_tasks,task_miss_cost_ms,task_saved_prefill_ms,task_p95_ttft_ms,task_p50_ttft_ms,task_hits,task_misses,task_block_hit_rate,task_n_requests
1,4,gdsf,retail-64,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,5930873.020618223,4929839.370326139,114213.66703603417,6811.319187283516,34471,22667,0.6032937799712975,156
1,4,gdsf,retail-32,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,2770701.0284075513,5478148.777275346,66484.85808540136,2251.032739877701,48048,18920,0.7174770039421814,205
1,4,gdsf,airline-24,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,2629852.7103755623,3750540.4223371297,82609.857885167,5146.1446210742,31175,17252,0.6437524521444649,142
1,4,gdsf,retail-67,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,112401.73966996372,1328568.5441419482,3376.9863098859787,500.2624746412039,19781,1575,0.9262502341262409,116
1,4,gdsf,retail-44,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1064294.0889345482,4203300.727861002,24522.938281297684,1224.6312405914068,41413,8723,0.8260132439763842,178
1,4,gdsf,retail-100,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,6542749.392843805,6907430.04938215,109153.36659550667,16060.508012771606,49056,36905,0.5706774002163771,204
1,4,gdsf,retail-22,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,189273.1392122805,1905096.4573239908,4592.445380985737,861.5147322416306,26279,2609,0.9096856826363888,132
1,4,gdsf,retail-25,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,134735.33448111266,1683968.8836419955,5661.5568697452545,685.364343225956,21844,1618,0.9310374222146449,106
1,4,gdsf,airline-45,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,275822.24511075765,1736933.7007803842,7216.232784092426,1930.7378828525543,22381,3643,0.860013833384568,110
1,4,gdsf,retail-57,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,142007.50948954374,1631567.6421383396,5163.423478603363,406.92394971847534,26059,1934,0.9309112992533848,148
